"STATION","NAME","DATE","PRCP"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1967-06","3.48"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1967-07","2.47"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1967-08","5.74"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1967-09","2.00"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1967-10","0.96"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1967-11","3.38"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1967-12","6.43"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1968-01","3.85"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1968-02","1.15"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1968-03","7.85"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1968-04","1.72"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1968-05","3.26"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1968-06","5.65"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1968-07","0.55"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1968-08","1.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1968-09","1.80"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1968-10","1.85"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1968-11","6.75"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1968-12","6.23"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1969-01","2.26"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1969-02","7.09"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1969-03","2.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1969-04","4.37"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1969-05","1.96"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1969-06","0.64"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1969-07","2.98"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1969-08","1.89"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1969-09","4.42"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1969-10","1.64"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1969-11","8.19"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1969-12","9.74"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01","0.90"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02","4.65"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03","4.32"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-04","2.79"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-05","3.01"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-06","4.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-07","1.27"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-08","4.13"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-09","2.60"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-10","2.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-11","4.09"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-12","6.92"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-01","1.89"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-02","5.05"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-03","3.08"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-04","2.92"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-05","3.72"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-06","1.74"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-07","2.84"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-08","1.59"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-09","1.55"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-10","2.16"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-11","6.74"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-12","2.40"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-01","2.05"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-02","5.29"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-03","5.37"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-04","3.34"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-05","5.26"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-06","6.76"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-07","2.19"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-08","0.83"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-09","5.94"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-10","2.98"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-11","7.03"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-12","6.08"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1973-01","3.13"
